#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.89723  0.10627  0.04785      NaN       NaN       NaN       NaN       NaN
   0.90566  0.09795  0.04648      NaN       NaN       NaN       NaN       NaN
   0.91377  0.08997  0.04504      NaN       NaN       NaN       NaN       NaN
   0.92152  0.08237  0.04356      NaN       NaN       NaN       NaN       NaN
   0.92886  0.07518  0.04204      NaN       NaN       NaN       NaN       NaN
   0.93576  0.06846  0.04050      NaN       NaN       NaN       NaN       NaN
   0.94220  0.06221  0.03895      NaN       NaN       NaN       NaN       NaN
   0.94818  0.05643  0.03741      NaN       NaN       NaN       NaN       NaN
   0.95369  0.05113  0.03589      NaN       NaN       NaN       NaN       NaN
   0.95877  0.04628  0.03439      NaN       NaN       NaN       NaN       NaN
   0.96344  0.04185  0.03292      NaN       NaN       NaN       NaN       NaN
   0.96773  0.03781  0.03149      NaN       NaN       NaN       NaN       NaN
   0.97167  0.03412  0.03009      NaN       NaN       NaN       NaN       NaN
   0.97530  0.03075  0.02872      NaN       NaN       NaN       NaN       NaN
   0.97866  0.02767  0.02738      NaN       NaN       NaN       NaN       NaN
   0.98177  0.02485  0.02608      NaN       NaN       NaN       NaN       NaN
   0.98466  0.02226  0.02479      NaN       NaN       NaN       NaN       NaN
   0.98735  0.01988  0.02353      NaN       NaN       NaN       NaN       NaN
   0.98987  0.01769  0.02229      NaN       NaN       NaN       NaN       NaN
   0.99223  0.01568  0.02107      NaN       NaN       NaN       NaN       NaN
   0.99445  0.01382  0.01986      NaN       NaN       NaN       NaN       NaN
   0.99654  0.01210  0.01865      NaN       NaN       NaN       NaN       NaN
   0.99853  0.01052  0.01745      NaN       NaN       NaN       NaN       NaN
   1.00041  0.00907  0.01626      NaN       NaN       NaN       NaN       NaN
   1.00220  0.00773  0.01506      NaN       NaN       NaN       NaN       NaN
   1.00391  0.00651  0.01387      NaN       NaN       NaN       NaN       NaN
   1.00555  0.00539  0.01267      NaN       NaN       NaN       NaN       NaN
   1.00712  0.00439  0.01147      NaN       NaN       NaN       NaN       NaN
   1.00862  0.00349  0.01026      NaN       NaN       NaN       NaN       NaN
   1.01007  0.00270  0.00904      NaN       NaN       NaN       NaN       NaN
   1.01148  0.00200  0.00782      NaN       NaN       NaN       NaN       NaN
   1.01283  0.00142  0.00660      NaN       NaN       NaN       NaN       NaN
   1.01415  0.00094  0.00538      NaN       NaN       NaN       NaN       NaN
   1.01542  0.00056  0.00416      NaN       NaN       NaN       NaN       NaN
   1.01666  0.00028  0.00295      NaN       NaN       NaN       NaN       NaN
   1.01787  0.00010  0.00175      NaN       NaN       NaN       NaN       NaN
   1.01905  0.00001  0.00058      NaN       NaN       NaN       NaN       NaN
   1.02021  0.00001 -0.00058      NaN  0.000000  0.000000  0.000000       NaN
   1.02139  0.00010 -0.00175      NaN  0.000000  0.000000  0.000000       NaN
   1.02260  0.00028 -0.00295      NaN  0.000000  0.000000  0.000000       NaN
   1.02384  0.00056 -0.00416      NaN  0.000000  0.000000  0.000000       NaN
   1.02512  0.00094 -0.00538      NaN  0.000000  0.000000  0.000000       NaN
   1.02643  0.00142 -0.00660      NaN  0.000000  0.000000  0.000000       NaN
   1.02779  0.00200 -0.00782      NaN  0.000000  0.000000  0.000000       NaN
   1.02919  0.00270 -0.00904      NaN  0.000000  0.000000  0.000000       NaN
   1.03064  0.00349 -0.01026      NaN  0.000000  0.000000  0.000000       NaN
   1.03215  0.00439 -0.01147      NaN  0.000000  0.000000  0.000000       NaN
   1.03371  0.00539 -0.01267      NaN  0.000000  0.000000  0.000000       NaN
   1.03535  0.00651 -0.01387      NaN  0.000000  0.000000  0.000000       NaN
   1.03706  0.00773 -0.01506      NaN  0.000000  0.000000  0.000000       NaN
   1.03885  0.00907 -0.01626      NaN  0.000000  0.000000  0.000000       NaN
   1.04073  0.01052 -0.01745      NaN  0.000000  0.000000  0.000000       NaN
   1.04272  0.01210 -0.01865      NaN  0.000000  0.000000  0.000000       NaN
   1.04481  0.01382 -0.01986      NaN  0.000000  0.000000  0.000000       NaN
   1.04703  0.01568 -0.02107      NaN  0.000000  0.000000  0.000000       NaN
   1.04939  0.01770 -0.02229      NaN  0.000000  0.000000  0.000000       NaN
   1.05191  0.01988 -0.02353      NaN  0.000000  0.000000  0.000000       NaN
   1.05460  0.02226 -0.02479      NaN  0.000000  0.000000  0.000000       NaN
   1.05749  0.02485 -0.02608      NaN  0.000000  0.000000  0.000000       NaN
   1.06060  0.02767 -0.02738      NaN  0.000000  0.000000  0.000000       NaN
   1.06396  0.03075 -0.02872      NaN  0.000000  0.000000  0.000000       NaN
   1.06759  0.03412 -0.03009      NaN  0.000000  0.000000  0.000000       NaN
   1.07153  0.03781 -0.03149      NaN  0.000000  0.000000  0.000000       NaN
   1.07582  0.04185 -0.03292      NaN  0.000000  0.000000  0.000000       NaN
   1.08049  0.04628 -0.03439      NaN  0.000000  0.000000  0.000000       NaN
   1.08557  0.05113 -0.03589      NaN  0.000000  0.000000  0.000000       NaN
   1.09108  0.05643 -0.03741      NaN  0.000000  0.000000  0.000000       NaN
   1.09706  0.06221 -0.03895      NaN  0.000000  0.000000  0.000000       NaN
   1.10350  0.06846 -0.04050      NaN  0.000000  0.000000  0.000000       NaN
   1.11040  0.07519 -0.04204      NaN  0.000000  0.000000  0.000000       NaN
   1.11774  0.08237 -0.04356      NaN  0.000000  0.000000  0.000000       NaN
   1.12549  0.08997 -0.04504      NaN  0.000000  0.000000  0.000000       NaN
   1.13360  0.09795 -0.04648      NaN  0.000000  0.000000  0.000000       NaN
   1.14203  0.10627 -0.04785      NaN  0.000000  0.000000  0.000000       NaN
   1.15073  0.11487 -0.04916      NaN  0.000000  0.000000  0.000000       NaN
   1.15966  0.12372 -0.05039      NaN  0.000000  0.000000  0.000000       NaN
   1.16879  0.13278 -0.05153      NaN  0.000000  0.000000  0.000000       NaN
   1.17809  0.14201 -0.05260      NaN  0.000000  0.000000  0.000000       NaN
   1.18752  0.15139 -0.05359      NaN  0.000000  0.000000  0.000000       NaN
   1.19707  0.16089 -0.05450      NaN  0.000000  0.000000  0.000000       NaN
